"StartDate","EndDate","Status","Progress","Duration..in.seconds.","Finished","RecordedDate","ResponseId","RecipientLastName","RecipientFirstName","RecipientEmail","ExternalReference","DistributionChannel","UserLanguage","comprehension_boxes","comprehension_your_boxes","comprehension_winning_boxes","comprehension_fc","comprehension_lc","comprehension_ps","comprehension_cc","pre1","pre2","pre3","pre_fc","pre_lc","pre_ps","pre_cc","c_selection1","c_selection2","c_selection3","post1","post2","post3","post_fc","post_lc","post_ps","post_cc","likelihood","confidence1","confidence2","why","why_fc","why_lc","why_ps","why_cc","age","gender","education","winning_box","outcome","order","pre","choice","choice_text","box","box_image","box_text","p_selected","winning_box_text","IPAddress_coded","workerId_coded","excluded","excluded_reason","p_highest","p_lowest","p_second_highest","uniform","choice_tertiary"
"2019-09-25 11:01:20","2019-09-25 11:04:49","0","100","208","1","2019-09-25 11:04:50","R_ex6c6Z0fstYUMjD","","","","","anonymous","EN","3","1","1","5.2","15.101","23.42","4",NA,NA,NA,"","","","","","","",33,33,34,"12.3","34.33","34.742","5","5","5","5","Equal chances","5.999","5.999","12.222","1","26","1","2","3","$1.00","213",0,0,"The computer has randomly selected this box as your box.",3,"https://wharton.ca1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_byGtAtR4WsrhcqN","Right",34,"Right",113,1,0,"NA",34,33,33,1,2
"2019-09-25 11:07:38","2019-09-25 11:10:04","0","100","145","1","2019-09-25 11:10:04","R_ULn9QAccQEZe73H","","","","","anonymous","EN","3","1","1","2.087","5.305","6.658","3",NA,NA,NA,"","","","","Off","Off","On",33.34,33.33,33.33,"5.172","38.865","40.028","14","5","5","5","There are three boxes with an equal chance of being selected.","4.589","4.589","16.386","1","28","1","4","2","$0.00","312",0,1,"You have selected this box as your box.",3,"https://wharton.ca1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_byGtAtR4WsrhcqN","Right",33.33,"Middle",359,2,0,"NA",33.34,33.33,33.33,1,1
"2019-09-25 11:34:03","2019-09-25 11:36:37","0","100","153","1","2019-09-25 11:36:37","R_25yj7wCBvssuStb","","","","","anonymous","EN","3","1","1","2.397","4.948","6.77","3",33.3,33.3,33.4,"10.854","29.304","32.018","6","On","Off","Off",NA,NA,NA,"","","","","5","5","5","Because they all have an equal chance of being chosen.","2.329","2.329","22.204","1","24","1","2","2","$0.00","213",1,1,"You have selected this box as your box.",1,"https://wharton.ca1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_cZ26urzdWdrwgHr","Left",33.3,"Middle",569,3,0,"NA",33.4,33.3,33.3,1,0
"2019-09-25 11:09:03","2019-09-25 11:12:27","0","100","204","1","2019-09-25 11:12:28","R_NX8a3NdIUU8Bhw5","","","","","anonymous","EN","3","2","3","0.726","1.58","2.4","3",NA,NA,NA,"","","","","Off","Off","On",10,20,70,"5.869","21.963","27.005","5","10","10","10","70%","2.398","2.398","10.234","1","41","0","5","2","$0.00","123",0,1,"You have selected this box as your box.",3,"https://wharton.ca1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_byGtAtR4WsrhcqN","Right",70,"Middle",292,4,1,"duplicate completion (ID) with later start date",70,10,20,0,1
"2019-09-25 11:08:55","2019-09-25 11:12:41","0","100","225","1","2019-09-25 11:12:42","R_3F4NGgOIYvccqFv","","","","","anonymous","EN","1","2","3","1.621","2.804","11.713","3",NA,NA,NA,"","","","","","","",20,60,20,"5.697","25.656","30.874","6","9","9","9","its good and best","4.087","16.982","35.939","2","41","0","5","1","$1.00","321",0,0,"The computer has randomly selected this box as your box.",1,"https://wharton.ca1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_cZ26urzdWdrwgHr","Left",20,"Left",292,4,0,"NA",60,20,20,0,2
"2019-09-25 11:15:34","2019-09-25 11:17:40","0","100","125","1","2019-09-25 11:17:40","R_5yBiXXQdKYiKLHb","","","","","anonymous","EN","3","1","1","2.091","3.843","4.706","3",33,33,34,"5.18","8.06","12.251","3","","","",NA,NA,NA,"","","","","3","3","3","Well I just assumed they'd all have an equal chance of being chosen, since I had no reason to believe otherwise. So I just split 100 between the 3 and had to round one of them up one.","2.267","41.931","47.849","4","26","1","4","3","$1.00","132",1,0,"The computer has randomly selected this box as your box.",3,"https://wharton.ca1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_byGtAtR4WsrhcqN","Right",34,"Right",485,5,0,"NA",34,33,33,1,0
"2019-09-25 11:57:09","2019-09-25 11:59:24","0","100","135","1","2019-09-25 11:59:24","R_1C3DaibxgW8GeSV","","","","","anonymous","EN","3","1","1","3.137","6.382","7.161","3",NA,NA,NA,"","","","","Off","On","Off",33,33,34,"5.257","11.581","13.307","5","5","8","5","There are 3 boxes so there is a about a 33% chance that any of them would win.","4.029","44.455","45.985","3","33","1","2","1","$0.00","213",0,1,"You have selected this box as your box.",2,"https://wharton.ca1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_6Ft5pvdFg2hzi5v","Middle",33,"Left",567,6,0,"NA",34,33,33,1,1
"2019-09-25 11:02:05","2019-09-25 11:08:52","0","100","406","1","2019-09-25 11:08:52","R_1rkSMMqP2e5UJy3","","","","","anonymous","EN","3","1","1","3.951","9.594","11.219","3",NA,NA,NA,"","","","","Off","On","Off",25,50,25,"12.729","42.022","45.6","7","9","10","9","Because I feel lucky today and I believe in my intuition","23.902","23.902","95.023","1","28","1","5","2","$1.00","123",0,1,"You have selected this box as your box.",2,"https://wharton.ca1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_6Ft5pvdFg2hzi5v","Middle",50,"Middle",474,7,0,"NA",50,25,25,0,1
"2019-09-25 11:31:34","2019-09-25 11:34:35","0","100","181","1","2019-09-25 11:34:36","R_r8EgVIQvzfJFZ6h","","","","","anonymous","EN","3","1","1","2.22","5.151","6.274","3",NA,NA,NA,"","","","","On","Off","Off",34,33,33,"6.409","12.67","13.678","6","7","9","9","Each box is actually 33.3333% but I rounded to the nearest number and I gave the box that I chose the last 1% for good luck.","13.354","13.354","76.343","1","35","0","2","2","$0.00","123",0,1,"You have selected this box as your box.",1,"https://wharton.ca1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_cZ26urzdWdrwgHr","Left",34,"Middle",232,8,0,"NA",34,33,33,1,1
"2019-09-25 11:25:35","2019-09-25 11:28:16","0","100","160","1","2019-09-25 11:28:16","R_3Gk2Cei6qqazxKh","","","","","anonymous","EN","3","1","1","2.06","7.432","8.148","3",33.4,33.3,33.3,"3.83","29.821","30.444","9","","","",NA,NA,NA,"","","","","6","6","6","Because there is an equal likelihood of all the boxes being the winning box","4.179","21.302","23.158","3","24","1","4","3","$1.00","132",1,0,"The computer has randomly selected this box as your box.",3,"https://wharton.ca1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_byGtAtR4WsrhcqN","Right",33.3,"Right",411,9,0,"NA",33.4,33.3,33.3,1,0
